pdb_id	uniprot_id	experimental_method	resolution	release_date	ligand_count	source	fetch_date
8DNS	P04406	ELECTRON MICROSCOPY	3.22	2022-11-16	0	RCSB_DATA_API	2026-04-11
8G12	P04406	ELECTRON MICROSCOPY	2.17	2023-12-27	0	RCSB_DATA_API	2026-04-11
8G13	P04406	ELECTRON MICROSCOPY	2.3	2023-12-27	0	RCSB_DATA_API	2026-04-11
8G14	P04406	ELECTRON MICROSCOPY	2.3	2023-12-27	0	RCSB_DATA_API	2026-04-11
8G15	P04406	ELECTRON MICROSCOPY	2.07	2023-12-27	0	RCSB_DATA_API	2026-04-11
8G16	P04406	ELECTRON MICROSCOPY	2.07	2023-12-27	0	RCSB_DATA_API	2026-04-11
8G17	P04406	ELECTRON MICROSCOPY	1.98	2023-12-27	0	RCSB_DATA_API	2026-04-11
8P5F	P04406	X-RAY DIFFRACTION	1.82	2023-07-05	3	RCSB_DATA_API	2026-04-11
1AOS	P04424	X-RAY DIFFRACTION	4.2	1998-01-14	0	RCSB_DATA_API	2026-04-11
1K62	P04424	X-RAY DIFFRACTION	2.65	2002-02-01	0	RCSB_DATA_API	2026-04-11
1AKJ	P04439	X-RAY DIFFRACTION	2.65	1997-09-17	0	RCSB_DATA_API	2026-04-11
1AO7	P04439	X-RAY DIFFRACTION	2.6	1997-09-17	1	RCSB_DATA_API	2026-04-11
1AQD	P04439	X-RAY DIFFRACTION	2.45	1998-01-28	0	RCSB_DATA_API	2026-04-11
1B0G	P04439	X-RAY DIFFRACTION	2.5	1998-11-18	0	RCSB_DATA_API	2026-04-11
1B0R	P04439	X-RAY DIFFRACTION	2.9	1999-11-25	0	RCSB_DATA_API	2026-04-11
1BD2	P04439	X-RAY DIFFRACTION	2.5	1998-08-19	0	RCSB_DATA_API	2026-04-11
1DUY	P04439	X-RAY DIFFRACTION	2.15	2000-02-04	0	RCSB_DATA_API	2026-04-11
1DUZ	P04439	X-RAY DIFFRACTION	1.8	2000-02-04	0	RCSB_DATA_API	2026-04-11
1EEY	P04439	X-RAY DIFFRACTION	2.25	2003-06-10	0	RCSB_DATA_API	2026-04-11
1EEZ	P04439	X-RAY DIFFRACTION	2.3	2003-06-10	0	RCSB_DATA_API	2026-04-11
1HHG	P04439	X-RAY DIFFRACTION	2.6	1993-10-31	0	RCSB_DATA_API	2026-04-11
1HHH	P04439	X-RAY DIFFRACTION	3	1993-10-31	0	RCSB_DATA_API	2026-04-11
1HHI	P04439	X-RAY DIFFRACTION	2.5	1993-10-31	0	RCSB_DATA_API	2026-04-11
1HHJ	P04439	X-RAY DIFFRACTION	2.5	1993-10-31	0	RCSB_DATA_API	2026-04-11
1HHK	P04439	X-RAY DIFFRACTION	2.5	1993-10-31	0	RCSB_DATA_API	2026-04-11
1HLA	P04439	X-RAY DIFFRACTION	3.5	1988-01-16	0	RCSB_DATA_API	2026-04-11
1HSB	P04439	X-RAY DIFFRACTION	1.9	1993-10-31	2	RCSB_DATA_API	2026-04-11
1I1F	P04439	X-RAY DIFFRACTION	2.8	2000-01-12	0	RCSB_DATA_API	2026-04-11
1I1Y	P04439	X-RAY DIFFRACTION	2.2	2000-01-21	0	RCSB_DATA_API	2026-04-11
1I4F	P04439	X-RAY DIFFRACTION	1.4	2001-07-25	1	RCSB_DATA_API	2026-04-11
1I7R	P04439	X-RAY DIFFRACTION	2.2	2001-10-24	0	RCSB_DATA_API	2026-04-11
1I7T	P04439	X-RAY DIFFRACTION	2.8	2001-10-24	0	RCSB_DATA_API	2026-04-11
1I7U	P04439	X-RAY DIFFRACTION	1.8	2001-10-24	0	RCSB_DATA_API	2026-04-11
1IM3	P04439	X-RAY DIFFRACTION	2.2	2001-06-06	0	RCSB_DATA_API	2026-04-11
1JF1	P04439	X-RAY DIFFRACTION	1.85	2001-09-14	1	RCSB_DATA_API	2026-04-11
1JHT	P04439	X-RAY DIFFRACTION	2.15	2001-09-14	0	RCSB_DATA_API	2026-04-11
1LP9	P04439	X-RAY DIFFRACTION	2	2003-11-11	0	RCSB_DATA_API	2026-04-11
1OGA	P04439	X-RAY DIFFRACTION	1.4	2003-06-19	0	RCSB_DATA_API	2026-04-11
1P7Q	P04439	X-RAY DIFFRACTION	3.4	2003-10-14	0	RCSB_DATA_API	2026-04-11
1Q94	P04439	X-RAY DIFFRACTION	2.4	2004-06-01	0	RCSB_DATA_API	2026-04-11
1QEW	P04439	X-RAY DIFFRACTION	2.2	2003-11-18	0	RCSB_DATA_API	2026-04-11
1QR1	P04439	X-RAY DIFFRACTION	2.4	2000-01-01	0	RCSB_DATA_API	2026-04-11
1QRN	P04439	X-RAY DIFFRACTION	2.8	1999-10-14	0	RCSB_DATA_API	2026-04-11
1QSE	P04439	X-RAY DIFFRACTION	2.8	1999-12-21	0	RCSB_DATA_API	2026-04-11
1QSF	P04439	X-RAY DIFFRACTION	2.8	1999-12-21	0	RCSB_DATA_API	2026-04-11
1QVO	P04439	X-RAY DIFFRACTION	2.22	2004-06-01	0	RCSB_DATA_API	2026-04-11
1S8D	P04439	X-RAY DIFFRACTION	2.2	2005-09-06	0	RCSB_DATA_API	2026-04-11
1S9W	P04439	X-RAY DIFFRACTION	2.2	2004-09-28	1	RCSB_DATA_API	2026-04-11
1S9X	P04439	X-RAY DIFFRACTION	2.5	2004-09-28	1	RCSB_DATA_API	2026-04-11
1S9Y	P04439	X-RAY DIFFRACTION	2.3	2004-09-28	1	RCSB_DATA_API	2026-04-11
1T1W	P04439	X-RAY DIFFRACTION	2.2	2005-09-06	0	RCSB_DATA_API	2026-04-11
1T1X	P04439	X-RAY DIFFRACTION	2.2	2005-09-06	0	RCSB_DATA_API	2026-04-11
1T1Y	P04439	X-RAY DIFFRACTION	2	2005-09-06	0	RCSB_DATA_API	2026-04-11
1T1Z	P04439	X-RAY DIFFRACTION	1.9	2005-09-06	0	RCSB_DATA_API	2026-04-11
1T20	P04439	X-RAY DIFFRACTION	2.2	2005-09-06	0	RCSB_DATA_API	2026-04-11
1T21	P04439	X-RAY DIFFRACTION	2.19	2005-09-06	0	RCSB_DATA_API	2026-04-11
1T22	P04439	X-RAY DIFFRACTION	2.2	2005-09-06	0	RCSB_DATA_API	2026-04-11
1TMC	P04439	X-RAY DIFFRACTION	2.3	1995-03-31	0	RCSB_DATA_API	2026-04-11
1TVB	P04439	X-RAY DIFFRACTION	1.8	2005-04-19	1	RCSB_DATA_API	2026-04-11
1TVH	P04439	X-RAY DIFFRACTION	1.802	2005-04-19	1	RCSB_DATA_API	2026-04-11
1W72	P04439	X-RAY DIFFRACTION	2.15	2004-11-09	1	RCSB_DATA_API	2026-04-11
1X7Q	P04439	X-RAY DIFFRACTION	1.45	2005-08-02	2	RCSB_DATA_API	2026-04-11
2AV1	P04439	X-RAY DIFFRACTION	1.95	2005-10-18	2	RCSB_DATA_API	2026-04-11
2AV7	P04439	X-RAY DIFFRACTION	2.05	2005-10-18	1	RCSB_DATA_API	2026-04-11
2BCK	P04439	X-RAY DIFFRACTION	2.8	2006-01-10	2	RCSB_DATA_API	2026-04-11
2BNQ	P04439	X-RAY DIFFRACTION	1.7	2005-05-23	0	RCSB_DATA_API	2026-04-11
2BNR	P04439	X-RAY DIFFRACTION	1.9	2005-05-23	0	RCSB_DATA_API	2026-04-11
2C7U	P04439	X-RAY DIFFRACTION	2.38	2006-03-08	0	RCSB_DATA_API	2026-04-11
2CLR	P04439	X-RAY DIFFRACTION	2	1995-03-31	0	RCSB_DATA_API	2026-04-11
2F53	P04439	X-RAY DIFFRACTION	2.1	2006-04-25	2	RCSB_DATA_API	2026-04-11
2F54	P04439	X-RAY DIFFRACTION	2.7	2006-04-25	0	RCSB_DATA_API	2026-04-11
2GIT	P04439	X-RAY DIFFRACTION	1.7	2006-10-03	3	RCSB_DATA_API	2026-04-11
2GJ6	P04439	X-RAY DIFFRACTION	2.56	2006-10-03	3	RCSB_DATA_API	2026-04-11
2GT9	P04439	X-RAY DIFFRACTION	1.75	2007-06-12	2	RCSB_DATA_API	2026-04-11
2GTW	P04439	X-RAY DIFFRACTION	1.548	2007-06-12	3	RCSB_DATA_API	2026-04-11
2GTZ	P04439	X-RAY DIFFRACTION	1.7	2007-06-12	2	RCSB_DATA_API	2026-04-11
2GUO	P04439	X-RAY DIFFRACTION	1.9	2007-06-12	2	RCSB_DATA_API	2026-04-11
2HLA	P04439	X-RAY DIFFRACTION	2.6	1990-04-15	0	RCSB_DATA_API	2026-04-11
2HN7	P04439	X-RAY DIFFRACTION	1.6	2006-11-28	1	RCSB_DATA_API	2026-04-11
2J8U	P04439	X-RAY DIFFRACTION	2.88	2007-10-16	0	RCSB_DATA_API	2026-04-11
2JCC	P04439	X-RAY DIFFRACTION	2.5	2007-10-09	0	RCSB_DATA_API	2026-04-11
2P5E	P04439	X-RAY DIFFRACTION	1.89	2007-09-25	5	RCSB_DATA_API	2026-04-11
2P5W	P04439	X-RAY DIFFRACTION	2.2	2007-09-25	5	RCSB_DATA_API	2026-04-11
2PYE	P04439	X-RAY DIFFRACTION	2.3	2007-09-25	4	RCSB_DATA_API	2026-04-11
2UWE	P04439	X-RAY DIFFRACTION	2.4	2007-09-25	0	RCSB_DATA_API	2026-04-11
2V2W	P04439	X-RAY DIFFRACTION	1.6	2007-11-06	0	RCSB_DATA_API	2026-04-11
2V2X	P04439	X-RAY DIFFRACTION	1.6	2007-11-06	0	RCSB_DATA_API	2026-04-11
2VLJ	P04439	X-RAY DIFFRACTION	2.4	2008-01-22	0	RCSB_DATA_API	2026-04-11
2VLK	P04439	X-RAY DIFFRACTION	2.5	2008-01-22	0	RCSB_DATA_API	2026-04-11
2VLL	P04439	X-RAY DIFFRACTION	1.6	2008-01-22	0	RCSB_DATA_API	2026-04-11
2VLR	P04439	X-RAY DIFFRACTION	2.3	2008-01-22	0	RCSB_DATA_API	2026-04-11
2X4N	P04439	X-RAY DIFFRACTION	2.34	2010-03-02	2	RCSB_DATA_API	2026-04-11
2X4O	P04439	X-RAY DIFFRACTION	2.3	2010-03-02	2	RCSB_DATA_API	2026-04-11
2X4P	P04439	X-RAY DIFFRACTION	2.3	2010-03-02	2	RCSB_DATA_API	2026-04-11
2X4Q	P04439	X-RAY DIFFRACTION	1.9	2010-03-02	2	RCSB_DATA_API	2026-04-11
2X4R	P04439	X-RAY DIFFRACTION	2.3	2010-03-02	1	RCSB_DATA_API	2026-04-11
2X4S	P04439	X-RAY DIFFRACTION	2.55	2010-03-02	2	RCSB_DATA_API	2026-04-11
2X4T	P04439	X-RAY DIFFRACTION	2.3	2010-03-02	2	RCSB_DATA_API	2026-04-11
2X4U	P04439	X-RAY DIFFRACTION	2.1	2010-03-02	2	RCSB_DATA_API	2026-04-11
2X70	P04439	X-RAY DIFFRACTION	2	2010-12-08	2	RCSB_DATA_API	2026-04-11
2XPG	P04439	X-RAY DIFFRACTION	2.6	2011-04-27	0	RCSB_DATA_API	2026-04-11
3BGM	P04439	X-RAY DIFFRACTION	1.6	2008-10-21	1	RCSB_DATA_API	2026-04-11
3BH8	P04439	X-RAY DIFFRACTION	1.65	2008-10-21	1	RCSB_DATA_API	2026-04-11
3BH9	P04439	X-RAY DIFFRACTION	1.7	2008-10-21	2	RCSB_DATA_API	2026-04-11
3BHB	P04439	X-RAY DIFFRACTION	2.2	2008-10-21	1	RCSB_DATA_API	2026-04-11
3BO8	P04439	X-RAY DIFFRACTION	1.8	2008-12-23	1	RCSB_DATA_API	2026-04-11
3D25	P04439	X-RAY DIFFRACTION	1.3	2009-02-10	0	RCSB_DATA_API	2026-04-11
3D39	P04439	X-RAY DIFFRACTION	2.81	2009-06-16	1	RCSB_DATA_API	2026-04-11
3D3V	P04439	X-RAY DIFFRACTION	2.8	2009-06-16	1	RCSB_DATA_API	2026-04-11
3FQN	P04439	X-RAY DIFFRACTION	1.65	2009-03-03	3	RCSB_DATA_API	2026-04-11
3FQR	P04439	X-RAY DIFFRACTION	1.7	2009-03-03	3	RCSB_DATA_API	2026-04-11
3FQT	P04439	X-RAY DIFFRACTION	1.8	2009-03-03	3	RCSB_DATA_API	2026-04-11
3FQU	P04439	X-RAY DIFFRACTION	1.8	2009-03-03	3	RCSB_DATA_API	2026-04-11
3FQW	P04439	X-RAY DIFFRACTION	1.927	2009-03-03	2	RCSB_DATA_API	2026-04-11
3FQX	P04439	X-RAY DIFFRACTION	1.7	2009-03-03	3	RCSB_DATA_API	2026-04-11
3FT2	P04439	X-RAY DIFFRACTION	1.8	2009-04-28	0	RCSB_DATA_API	2026-04-11
3FT3	P04439	X-RAY DIFFRACTION	1.95	2009-04-28	0	RCSB_DATA_API	2026-04-11
3FT4	P04439	X-RAY DIFFRACTION	1.9	2009-04-28	0	RCSB_DATA_API	2026-04-11
3GIV	P04439	X-RAY DIFFRACTION	2	2009-06-30	0	RCSB_DATA_API	2026-04-11
3GJF	P04439	X-RAY DIFFRACTION	1.9	2009-04-28	0	RCSB_DATA_API	2026-04-11
3GSN	P04439	X-RAY DIFFRACTION	2.8	2009-08-04	2	RCSB_DATA_API	2026-04-11
3GSO	P04439	X-RAY DIFFRACTION	1.6	2009-08-04	0	RCSB_DATA_API	2026-04-11
3GSQ	P04439	X-RAY DIFFRACTION	2.12	2009-08-04	0	RCSB_DATA_API	2026-04-11
3GSR	P04439	X-RAY DIFFRACTION	1.95	2009-08-04	0	RCSB_DATA_API	2026-04-11
3GSU	P04439	X-RAY DIFFRACTION	1.8	2009-08-04	0	RCSB_DATA_API	2026-04-11
3GSV	P04439	X-RAY DIFFRACTION	1.9	2009-08-04	0	RCSB_DATA_API	2026-04-11
3GSW	P04439	X-RAY DIFFRACTION	1.81	2009-08-04	0	RCSB_DATA_API	2026-04-11
3GSX	P04439	X-RAY DIFFRACTION	2.1	2009-08-04	0	RCSB_DATA_API	2026-04-11
3H7B	P04439	X-RAY DIFFRACTION	1.88	2010-01-12	1	RCSB_DATA_API	2026-04-11
3H9H	P04439	X-RAY DIFFRACTION	2	2010-01-12	1	RCSB_DATA_API	2026-04-11
3H9S	P04439	X-RAY DIFFRACTION	2.7	2010-01-12	1	RCSB_DATA_API	2026-04-11
3HAE	P04439	X-RAY DIFFRACTION	2.9	2009-05-19	0	RCSB_DATA_API	2026-04-11
3HLA	P04439	X-RAY DIFFRACTION	2.6	1990-04-15	0	RCSB_DATA_API	2026-04-11
3HPJ	P04439	X-RAY DIFFRACTION	2	2010-06-23	1	RCSB_DATA_API	2026-04-11
3I6G	P04439	X-RAY DIFFRACTION	2.201	2010-06-16	0	RCSB_DATA_API	2026-04-11
3I6K	P04439	X-RAY DIFFRACTION	2.8	2010-06-16	0	RCSB_DATA_API	2026-04-11
3I6L	P04439	X-RAY DIFFRACTION	2.4	2010-07-14	0	RCSB_DATA_API	2026-04-11
3IXA	P04439	X-RAY DIFFRACTION	2.1	2010-01-12	1	RCSB_DATA_API	2026-04-11
3KLA	P04439	X-RAY DIFFRACTION	1.65	2010-02-16	0	RCSB_DATA_API	2026-04-11
3MGO	P04439	X-RAY DIFFRACTION	2.297	2010-05-19	0	RCSB_DATA_API	2026-04-11
3MGT	P04439	X-RAY DIFFRACTION	2.197	2010-05-19	0	RCSB_DATA_API	2026-04-11
3MR9	P04439	X-RAY DIFFRACTION	1.93	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRB	P04439	X-RAY DIFFRACTION	1.4	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRC	P04439	X-RAY DIFFRACTION	1.8	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRD	P04439	X-RAY DIFFRACTION	1.7	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRE	P04439	X-RAY DIFFRACTION	1.1	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRF	P04439	X-RAY DIFFRACTION	2.3	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRG	P04439	X-RAY DIFFRACTION	1.3	2011-05-25	1	RCSB_DATA_API	2026-04-11
3MRH	P04439	X-RAY DIFFRACTION	2.4	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRI	P04439	X-RAY DIFFRACTION	2.1	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRJ	P04439	X-RAY DIFFRACTION	1.87	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRK	P04439	X-RAY DIFFRACTION	1.4	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRL	P04439	X-RAY DIFFRACTION	2.41	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRM	P04439	X-RAY DIFFRACTION	1.9	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRN	P04439	X-RAY DIFFRACTION	2.3	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRO	P04439	X-RAY DIFFRACTION	2.35	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRP	P04439	X-RAY DIFFRACTION	2.1	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRQ	P04439	X-RAY DIFFRACTION	2.2	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MRR	P04439	X-RAY DIFFRACTION	1.6	2011-05-25	0	RCSB_DATA_API	2026-04-11
3MYJ	P04439	X-RAY DIFFRACTION	1.89	2010-08-18	1	RCSB_DATA_API	2026-04-11
3NFN	P04439	X-RAY DIFFRACTION	2.392	2011-07-13	0	RCSB_DATA_API	2026-04-11
3O3A	P04439	X-RAY DIFFRACTION	1.8	2010-12-08	1	RCSB_DATA_API	2026-04-11
3O3B	P04439	X-RAY DIFFRACTION	1.9	2010-12-08	1	RCSB_DATA_API	2026-04-11
3O3D	P04439	X-RAY DIFFRACTION	1.7	2010-12-08	1	RCSB_DATA_API	2026-04-11
3O3E	P04439	X-RAY DIFFRACTION	1.85	2010-12-08	1	RCSB_DATA_API	2026-04-11
3O4L	P04439	X-RAY DIFFRACTION	2.54	2011-01-12	3	RCSB_DATA_API	2026-04-11
3PWJ	P04439	X-RAY DIFFRACTION	1.7	2011-03-09	1	RCSB_DATA_API	2026-04-11
3PWL	P04439	X-RAY DIFFRACTION	1.65	2011-03-09	1	RCSB_DATA_API	2026-04-11
3PWN	P04439	X-RAY DIFFRACTION	1.6	2011-03-09	1	RCSB_DATA_API	2026-04-11
3PWP	P04439	X-RAY DIFFRACTION	2.69	2011-03-09	2	RCSB_DATA_API	2026-04-11
3QDG	P04439	X-RAY DIFFRACTION	2.69	2011-07-06	0	RCSB_DATA_API	2026-04-11
3QDJ	P04439	X-RAY DIFFRACTION	2.3	2011-07-06	0	RCSB_DATA_API	2026-04-11
3QDM	P04439	X-RAY DIFFRACTION	2.8	2011-07-06	0	RCSB_DATA_API	2026-04-11
3QEQ	P04439	X-RAY DIFFRACTION	2.59	2011-07-06	0	RCSB_DATA_API	2026-04-11
3QFD	P04439	X-RAY DIFFRACTION	1.68	2011-09-28	2	RCSB_DATA_API	2026-04-11
3QFJ	P04439	X-RAY DIFFRACTION	2.29	2012-01-11	1	RCSB_DATA_API	2026-04-11
3QZW	P04439	X-RAY DIFFRACTION	2.798	2011-06-29	0	RCSB_DATA_API	2026-04-11
3REW	P04439	X-RAY DIFFRACTION	1.9	2012-01-18	3	RCSB_DATA_API	2026-04-11
3RL1	P04439	X-RAY DIFFRACTION	2	2012-02-29	0	RCSB_DATA_API	2026-04-11
3RL2	P04439	X-RAY DIFFRACTION	2.386	2012-02-29	0	RCSB_DATA_API	2026-04-11
3TO2	P04439	X-RAY DIFFRACTION	2.6	2012-08-29	0	RCSB_DATA_API	2026-04-11
3UTQ	P04439	X-RAY DIFFRACTION	1.67	2012-01-25	0	RCSB_DATA_API	2026-04-11
3UTS	P04439	X-RAY DIFFRACTION	2.712	2012-01-25	2	RCSB_DATA_API	2026-04-11
3UTT	P04439	X-RAY DIFFRACTION	2.6	2012-01-25	0	RCSB_DATA_API	2026-04-11
3V5D	P04439	X-RAY DIFFRACTION	2	2012-12-05	0	RCSB_DATA_API	2026-04-11
3V5H	P04439	X-RAY DIFFRACTION	1.63	2012-12-05	1	RCSB_DATA_API	2026-04-11
3V5K	P04439	X-RAY DIFFRACTION	2.31	2012-12-19	1	RCSB_DATA_API	2026-04-11
3VXM	P04439	X-RAY DIFFRACTION	2.5	2013-10-23	1	RCSB_DATA_API	2026-04-11
3VXN	P04439	X-RAY DIFFRACTION	1.95	2013-10-23	0	RCSB_DATA_API	2026-04-11
3VXO	P04439	X-RAY DIFFRACTION	2.61	2013-10-23	0	RCSB_DATA_API	2026-04-11
3VXP	P04439	X-RAY DIFFRACTION	2.5	2013-10-23	0	RCSB_DATA_API	2026-04-11
3VXR	P04439	X-RAY DIFFRACTION	2.4	2013-10-23	0	RCSB_DATA_API	2026-04-11
3VXS	P04439	X-RAY DIFFRACTION	1.8	2013-10-23	0	RCSB_DATA_API	2026-04-11
3VXU	P04439	X-RAY DIFFRACTION	2.7	2013-10-23	0	RCSB_DATA_API	2026-04-11
3W0W	P04439	X-RAY DIFFRACTION	2.603	2013-11-06	0	RCSB_DATA_API	2026-04-11
3WL9	P04439	X-RAY DIFFRACTION	1.66	2014-06-11	0	RCSB_DATA_API	2026-04-11
3WLB	P04439	X-RAY DIFFRACTION	2	2014-06-11	0	RCSB_DATA_API	2026-04-11
4E5X	P04439	X-RAY DIFFRACTION	1.95	2012-10-10	0	RCSB_DATA_API	2026-04-11
4EMZ	P04439	X-RAY DIFFRACTION	2.9	2012-06-20	0	RCSB_DATA_API	2026-04-11
4EN2	P04439	X-RAY DIFFRACTION	2.58	2012-06-20	0	RCSB_DATA_API	2026-04-11
4EUP	P04439	X-RAY DIFFRACTION	2.88	2013-05-01	0	RCSB_DATA_API	2026-04-11
4F7M	P04439	X-RAY DIFFRACTION	2.4	2012-10-10	0	RCSB_DATA_API	2026-04-11
4F7P	P04439	X-RAY DIFFRACTION	1.9	2012-10-10	0	RCSB_DATA_API	2026-04-11
4F7T	P04439	X-RAY DIFFRACTION	1.7	2012-10-10	0	RCSB_DATA_API	2026-04-11
4FTV	P04439	X-RAY DIFFRACTION	2.74	2013-07-03	1	RCSB_DATA_API	2026-04-11
4GKN	P04439	X-RAY DIFFRACTION	2.753	2012-09-12	1	RCSB_DATA_API	2026-04-11
4GKS	P04439	X-RAY DIFFRACTION	2.346	2012-09-12	3	RCSB_DATA_API	2026-04-11
4HWZ	P04439	X-RAY DIFFRACTION	2.397	2013-10-16	0	RCSB_DATA_API	2026-04-11
4HX1	P04439	X-RAY DIFFRACTION	1.802	2013-10-02	1	RCSB_DATA_API	2026-04-11
4I48	P04439	X-RAY DIFFRACTION	2.799	2013-10-02	0	RCSB_DATA_API	2026-04-11
4I4W	P04439	X-RAY DIFFRACTION	1.77	2013-01-02	3	RCSB_DATA_API	2026-04-11
4JFD	P04439	X-RAY DIFFRACTION	2.46	2013-05-29	2	RCSB_DATA_API	2026-04-11
4JFE	P04439	X-RAY DIFFRACTION	2.7	2013-05-29	2	RCSB_DATA_API	2026-04-11
4JFF	P04439	X-RAY DIFFRACTION	2.43	2013-05-29	2	RCSB_DATA_API	2026-04-11
4JFO	P04439	X-RAY DIFFRACTION	2.11	2013-05-29	2	RCSB_DATA_API	2026-04-11
4JFP	P04439	X-RAY DIFFRACTION	1.91	2013-05-29	4	RCSB_DATA_API	2026-04-11
4JFQ	P04439	X-RAY DIFFRACTION	1.9	2013-05-29	2	RCSB_DATA_API	2026-04-11
4K7F	P04439	X-RAY DIFFRACTION	2	2013-06-05	0	RCSB_DATA_API	2026-04-11
4L29	P04439	X-RAY DIFFRACTION	3.09	2013-12-25	2	RCSB_DATA_API	2026-04-11
4L3C	P04439	X-RAY DIFFRACTION	2.64	2013-12-25	2	RCSB_DATA_API	2026-04-11
4L3E	P04439	X-RAY DIFFRACTION	2.557	2014-06-11	0	RCSB_DATA_API	2026-04-11
4MJ5	P04439	X-RAY DIFFRACTION	2.401	2014-10-08	0	RCSB_DATA_API	2026-04-11
4MJ6	P04439	X-RAY DIFFRACTION	2.57	2014-10-08	0	RCSB_DATA_API	2026-04-11
4MNQ	P04439	X-RAY DIFFRACTION	2.742	2013-11-13	2	RCSB_DATA_API	2026-04-11
4N8V	P04439	X-RAY DIFFRACTION	2.5	2014-02-05	0	RCSB_DATA_API	2026-04-11
4NNX	P04439	X-RAY DIFFRACTION	2.104	2014-11-19	2	RCSB_DATA_API	2026-04-11
4NNY	P04439	X-RAY DIFFRACTION	1.9	2014-11-19	2	RCSB_DATA_API	2026-04-11
4NO0	P04439	X-RAY DIFFRACTION	2.7	2014-11-19	1	RCSB_DATA_API	2026-04-11
4NO2	P04439	X-RAY DIFFRACTION	2	2014-11-19	2	RCSB_DATA_API	2026-04-11
4NO3	P04439	X-RAY DIFFRACTION	1.703	2014-12-24	1	RCSB_DATA_API	2026-04-11
4NO5	P04439	X-RAY DIFFRACTION	2.101	2014-12-24	2	RCSB_DATA_API	2026-04-11
4NQV	P04439	X-RAY DIFFRACTION	2.39	2013-12-25	0	RCSB_DATA_API	2026-04-11
4NQX	P04439	X-RAY DIFFRACTION	2	2013-12-25	0	RCSB_DATA_API	2026-04-11
4OV5	P04439	X-RAY DIFFRACTION	2.199	2014-07-16	0	RCSB_DATA_API	2026-04-11
4QOK	P04439	X-RAY DIFFRACTION	3	2014-12-17	1	RCSB_DATA_API	2026-04-11
4U6X	P04439	X-RAY DIFFRACTION	1.68	2014-12-24	3	RCSB_DATA_API	2026-04-11
4U6Y	P04439	X-RAY DIFFRACTION	1.467	2014-12-24	2	RCSB_DATA_API	2026-04-11
4UQ2	P04439	X-RAY DIFFRACTION	2.43	2014-09-17	0	RCSB_DATA_API	2026-04-11
4UQ3	P04439	X-RAY DIFFRACTION	2.1	2014-09-17	1	RCSB_DATA_API	2026-04-11
4WJ5	P04439	X-RAY DIFFRACTION	1.65	2014-10-29	1	RCSB_DATA_API	2026-04-11
4WU5	P04439	X-RAY DIFFRACTION	2.4	2015-05-06	0	RCSB_DATA_API	2026-04-11
4WU7	P04439	X-RAY DIFFRACTION	2.297	2015-05-06	0	RCSB_DATA_API	2026-04-11
4WUU	P04439	X-RAY DIFFRACTION	3.047	2015-12-30	0	RCSB_DATA_API	2026-04-11
5BRZ	P04439	X-RAY DIFFRACTION	2.62	2016-03-02	1	RCSB_DATA_API	2026-04-11
5BS0	P04439	X-RAY DIFFRACTION	2.4	2016-03-02	2	RCSB_DATA_API	2026-04-11
5C07	P04439	X-RAY DIFFRACTION	2.11	2016-05-04	3	RCSB_DATA_API	2026-04-11
5C08	P04439	X-RAY DIFFRACTION	2.332	2016-05-04	3	RCSB_DATA_API	2026-04-11
5C09	P04439	X-RAY DIFFRACTION	2.475	2016-05-04	1	RCSB_DATA_API	2026-04-11
5C0A	P04439	X-RAY DIFFRACTION	2.46	2016-05-04	3	RCSB_DATA_API	2026-04-11
5C0B	P04439	X-RAY DIFFRACTION	2.03	2016-05-04	4	RCSB_DATA_API	2026-04-11
5C0C	P04439	X-RAY DIFFRACTION	1.974	2016-05-04	4	RCSB_DATA_API	2026-04-11
5C0D	P04439	X-RAY DIFFRACTION	1.68	2016-05-04	0	RCSB_DATA_API	2026-04-11
5C0E	P04439	X-RAY DIFFRACTION	1.491	2016-05-04	4	RCSB_DATA_API	2026-04-11
5C0F	P04439	X-RAY DIFFRACTION	1.463	2016-05-04	5	RCSB_DATA_API	2026-04-11
5C0G	P04439	X-RAY DIFFRACTION	1.37	2016-05-04	2	RCSB_DATA_API	2026-04-11
5C0I	P04439	X-RAY DIFFRACTION	1.53	2016-05-04	4	RCSB_DATA_API	2026-04-11
5C0J	P04439	X-RAY DIFFRACTION	1.64	2016-05-04	4	RCSB_DATA_API	2026-04-11
5D2L	P04439	X-RAY DIFFRACTION	3.511	2015-10-07	0	RCSB_DATA_API	2026-04-11
